Company_Name,Company_Logo,Company_Description,Organization_Type,Staff,Development_Budget,Headquarters,Founded,website_link,Sectors,Funded,Countries,Skills,Contract_Name,Contract_Fundier
United Nations Mission in South Sudan (UNMISS),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0130/8055/8984409f-ee26-4b00-8d32-0a34db80a994.jpg","Having determined that the situation faced by South Sudan continues to constitute a threat to international peace and security in the region and acting under Chapter VII of the UN Charter, the Security Council by its resolution 1996 (2011) of 8 July 2011 established the United Nations Mission in the Republic of South Sudan (UNMISS) for an initial period of one year as from 9 July 2011 with the intention to renew for further periods as may be required..According to the original mandate UNMISS was to support the Government in peace consolidation and thereby fostering longer-term state building and economic development; assist the Government in exercising its responsibilities for conflict prevention, mitigation, and resolution and protect civilians; and help the authorities in developing capacity to provide security, establishing the rule of law, and strengthening the security and justice sectors in the country. The initial authorized strength of the Mission stood at up to 7,000 military personnel, including military liaison officers and staff officers, up to 900 civilian police personnel, including as appropriate formed units, and an appropriate civilian component, including technical human rights investigation expertise...","Funding Agencies, Implementing NGO",,,,2011,https://unmiss.unmissions.org/,"torts / conflict resolution,administration,reproductive health,data management,monitoring / evaluation","acumen,goal global,ec","south sudan,sudan,new zealand,zimbabwe,south africa","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0129/8792/minusma-2-300x300.png","The United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) was established by Security Council resolution 2100 of 25 April 2013 to support political processes in that country and carry out a number of security-related tasks.  The Mission was asked to support the transitional authorities of Mali in the stabilization of the country and implementation of the transitional roadmap..By unanimously adopting resolution 2164 of 25 June 2014, the Council further decided that the Mission should focus on duties, such as ensuring security, stabilization and protection of civilians; supporting national political dialogue and reconciliation; and assisting the reestablishment of State authority, the rebuilding of the security sector, and the promotion and protection of human rights in that country.",Implementing NGO,,,Mali,2013,https://minusma.unmissions.org/,"torts / conflict resolution,development,monitoring / evaluation,civil society,events / training","test,goal global","mali,south sudan,ghana,burkina faso,iraq","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
DT Global,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0137/2867/DT%2520Global%2520Logo%2520new.png","Transforming Ideas into Impact.Delivering data-driven, sustainable solutions that transform lives and empower communities through a global platform that links learning to impact..WHO THEY ARE.On the Cutting Edge of International Development.DT Global, built on more than 50 years of experience from AECOM International Development, Development Transformations, and the Global Peace and Development (GPD) Charitable Trust, applies ingenuity, evidence, and passion to everything they do. Grounded in decades of technical expertise and leadership around the world, they incorporate rigorous learning and assessment in their program design process to ensure that they stay on the cutting edge of thought leadership. Their technical experts work in partnership with communities and institutions to deliver innovative, data-driven solutions that create sustainable change and improve people's lives..THEIR DIFFERENCE.",Development Consulting,501-1000,,United States,2019,https://dt-global.com/,"development,international development,monitoring / evaluation,usaid,personnel / human resources",goal global,"united states,mali,afghanistan,chad,iraq","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Economic Commission for Africa (UNECA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0117/6792/UNECA.png","Established by the Economic and Social Council (ECOSOC) of the United Nations (UN) in 1958 as one of the UN's five regional commissions, ECA's mandate is to promote the economic and social development of its member States, foster intra-regional integration, and promote international cooperation for Africa's development..Made up of 54 member States, and playing a dual role as a regional arm of the UN and as a key component of the African institutional landscape, ECA is well positioned to make unique contributions to address the Continent’s development challenges..ECA’s strength derives from its role as the only UN agency mandated to operate at the regional and subregional levels to harness resources and bring them to bear on Africa's priorities. To enhance its impact, ECA places a special focus on collecting up to date and original regional statistics in order to ground its policy research and advocacy on clear objective evidence; promoting policy consensus; providing meaningful capacity development; and providing advisory services in key thematic fields....",Government,101-250,,Ethiopia,1958,http://www.uneca.org/,"economic policy,development,africa,monitoring / evaluation,research & development",,"ethiopia,mozambique,benin,india,cameroon","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Comundo,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0129/0124/Comundo.jpg","COMUNDO is the leading Swiss organization in the field of personnel development cooperation (PDC). It consists of the two associations Bethlehem Mission Immensee and Inter-Agire. COMUNDO runs a branch in Lucerne, in Fribourg, and in Bellinzona, as well as an office in Germany (Rottweil). COMUNDO currently has around 100 co-workers on assignment in 7 countries..COMUNDO pursues the objective of social justice worldwide by maintaining the following principles:

In the countries where assignments take place, COMUNDO concentrates on the exchange of experience and knowledge. Co-workers and local partner organizations meet on an equal footing and work together on site.

This cooperation not only strengthens the local partner organizations, but also improves living conditions for the population groups involved in the process.

In Switzerland, COMUNDO makes people conscious of global interrelationships and raises awareness among civil society and political decision-makers, in the interests of responsible action.
COMUNDO works with a holistic approach and encourages cross-linking between its work and various partners. The local partner organizations represent civil society, social movements, and church-based organizations..","Implementing NGO, Advocacy NGO, Service Providers",51-100,,,,http://www.comundo.org/en/,"tertiary education,anthropology,torts / conflict resolution,diplomacy / foreign affairs,development",,switzerland,managerial experience,,
United Nations Department of Peace Operations,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0137/3377/unp_logo_0.png","The Department of Peace Operations (DPO) is dedicated to assisting the Member States and the Secretary-General in their efforts to maintain international peace and security.
DPO provides political and executive direction to UN peacekeeping operations around the world and maintains contact with the Security Council, troop and financial contributors, and parties to the conflict in the implementation of Security Council mandates...",Implementing NGO,,,,,https://peacekeeping.un.org/en/department-of-peace-operations,"torts / conflict resolution,events / training,development,administration,public administration",test,"kenya,united states,sierra leone,south sudan,haiti","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
International Monetary Fund (IMF),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/3057/logo.jpg",,Funding Agencies,,,United States,1945,http://www.imf.org/,"development,economic policy,research & development,finance,private sector development","test,world bank group,acumen,goal global,department of foreign affairs and trade (irish aid)","united states,serbia,kenya,marshall islands,bulgaria","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Welthungerhilfe,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6157/Welt_hunger_life.jpg","Welthungerhilfe was formed in 1962 as part of a ground-breaking global campaign – the “Freedom from Hunger Campaign”. Established under the umbrella of the UN Food and Agriculture Organisation (FAO), it is now one of Germany’s largest private aid agencies..It is an independent organisation and firmly rooted in German society through its member organisations, donors and supporters. Welthungerhilfe promotes food security for all people, rural development and the preservation of natural resources. For this reason, they have increasingly been linking their partners in Germany and the project countries to a global network and are making development cooperation a reality.. .What They Do.Welthungerhilfe helps people in developing countries to provide for themselves now and in the future. As a large German aid agency with many years of international experience, it have been chalking up success stories in Africa, Asia and Latin America. As part of its political activities, Welthungerhilfe fights to change the conditions that lead to hunger and poverty. In Germany, it mobilises people to support and help implement its vision................",Implementing NGO,251-500,,Germany,1962,http://www.welthungerhilfe.de/,"development,monitoring / evaluation,performance measurement,climate change,farming / crops","ec,save the children international,ford foundation,goal global","united states,rwanda,liberia,india,kenya","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Global Health Technical Assistance and Mission Support Project (GH-TAMS),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0141/0988/download%2520%252812%2529.png","IBTCI is the prime contract holder of the $70 million USAID Global Health Technical Assistance and Mission Support (GH-TAMS) services contract (2019-2024) to provide the Bureau for Global Health (GH) and field missions with on-demand technical expertise to design and support programs contributing to the achievement of U.S. Government health targets. GH-TAMS supports cross-cutting health issues such as gender, health systems strengthening, environment, science, and technology. As the prime contractor of GH-TAMS, IBTCI manages 70-90 assignments concurrently to provide a range of specialized technical assistance to seven GH offices, 22 bilateral missions, and two regional missions. Through GH-TAMS, IBTCI continues to support numerous USAID Global Health offices and missions remotely during the COVID-19 pandemic. Since the contract award in October 2019, through September 2020, IBTCI has responded to 151 assignment requests for GH technical and mission coverage support worldwide.",Government,,,,,http://ghtams.com/,,,,"managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Social Impact,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0126/5316/SI%2520logo_RGB-02.jpg",Social Impact's mission is to create dramatic improvements in the performance of organizations and programs working to enhance the social and economic wellbeing of people around the world.................,Development Consulting,,,,,http://www.socialimpact.com/,"monitoring / evaluation,development,research & development,data management,personnel / human resources","world bank group,goal global,test","united states,australia,tajikistan,morocco,worldwide","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
IDinsight,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0134/4279/IDINSIGHT.png","IDinsight helps leaders combat poverty worldwide by designing, deploying and promoting evidence-generating tools. They tailor the best methodologies to partner needs and constraints to fuse evidence with action. They serve governments, NGOs, foundations and social businesses across Africa and Asia in all major program areas including health, education, agriculture, livelihoods, finance, energy and governance..VISION.They aim to improve millions of lives by transforming how the social sector innovates, learns, and improves..MISSION................",Service Providers,101-250,,,2011,http://idinsight.org/,"development,research & development,monitoring / evaluation,economic policy,data management","ec,test,world bank group,acumen,goal global","united states,morocco,malawi,kenya,zambia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Human Rights Watch,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6672/hrw.gif","Human Rights Watch is one of the world’s leading independent organizations dedicated to defending and protecting human rights. By focusing international attention where human rights are violated, they give voice to the oppressed and hold oppressors accountable for their crimes. Their rigorous, objective investigations and strategic, targeted advocacy build intense pressure for action and raise the cost of human rights abuse. For 30 years, Human Rights Watch has worked tenaciously to lay the legal and moral groundwork for deep-rooted change and has fought to bring greater justice and security to people around the world.

Their staff consists of human rights professionals including country experts, lawyers, journalists, and academics of diverse backgrounds and nationalities. Established in 1978, Human Rights Watch is known for its accurate fact-finding, impartial reporting, effective use of media, and targeted advocacy, often in partnership with local human rights groups. Each year, Human Rights Watch publishes more than 100 reports and briefings on human rights conditions in some 90 countries, generating extensive coverage in local and international media.

With the leverage this brings, Human Rights Watch meets with governments, the United Nations, regional groups like the African Union and the European Union, financial institutions, and corporations to press for changes in policy and practice that promote human rights and justice around the world.

Their on-the-ground researchers constantly monitor human rights conditions in some 80 countries around the world. These researchers create the foundations of their work by talking with people who were either abused or who witnessed abuse. Human Rights Watch also speaks with local human rights advocates, journalists, country experts, and government officials. We publish our findings in more than 100 reports and hundreds of news releases each year. In times of crisis, they're at the forefront, releasing up-to-the-minute information and advocating for action.

They are a fully independent non-governmental organization, supported by contributions from private individuals and foundations worldwide. In order to maintain our independence, they accept no money from any government, directly or indirectly.",Advocacy NGO,251-500,,100 Million - 500 Million,1978,http://www.hrw.org/,"human rights,tertiary education,research & development,public administration,development",,"mali,united states,iraq,ghana,georgia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Global Voices,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0119/2299/gv-logo.png","Global Voices is a large international network of bloggers who translate and report daily on what's being said by citizens in online media around the world. The project was co-founded in 2005 by Rebecca MacKinnon and Ethan Zuckerman at the Berkman Center for Internet & Society at Harvard School of Law. Today, Global Voices is an independent organization incorporated in the Netherlands. There are more than 300 active contributors to Global Voices around the world..The organization now states its goals as to:
> Call attention to the most interesting conversations and perspectives emerging from citizens’ media around the world by linking to text, photos, podcasts, video and other forms of grassroots citizens’ media.............",Advocacy NGO,,,Netherlands,2005,http://globalvoicesonline.org/,"market research,development,public administration,climate change,research & development",,"indonesia,australia,jordan,mexico,france","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
The Aga Khan Academies,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0132/1335/aka_logo_0.png","The Aga Khan Academies are an agency of the Aga Khan Development Network (AKDN). The AKDN is a group of development agencies with mandates that include the environment, health, education, architecture, culture, microfinance, rural development, disaster reduction, the promotion of private-sector enterprise and the revitalisation of historic cities. AKDN agencies conduct their programmes without regard to faith, origin or gender..In 2000, His Highness the Aga Khan initiated the establishment of the Aga Khan Academies, an integrated network of schools to be located in countries across Africa, South and Central Asia, and the Middle East. When complete, the network of Academies will form a global learning community of about 18 schools in 14 countries. They will eventually serve approximately 14,000 girls and boys of exceptional calibre, graduating 1,500 students annually.",Institute,1001-5000,,France,2000,http://agakhanacademies.org/,"community,nutrition,reproductive health,research & development,monitoring / evaluation",,pakistan,"managerial experience,business development",,
Vital Voices Global Partnership,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0129/7565/hk.jpg","In 1997, Vital Voices was created to make space for women to be heard. Their founders knew then what has now become a universal truth: that women are essential to progress in their communities. Their world cannot move forward without their full participation..Today, their organization is the product of the women they have worked with, their insights into leadership and their changing world..They invest in leaders because they take the responsibility to improve societies. They strengthen laws, create jobs and defend political freedoms..Their investment in one leader impacts hundreds and thousands more. They partner with women who demonstrate leadership that unites and inspires people. They exhibit visionary thinking and take risks to innovate. Each leader in their global network believes in mentoring the rising generation and shares her knowledge, experience and influence with others.......",Implementing NGO,26-50,,,1997,http://www.vitalvoices.org/,"monitoring / evaluation,research & development,development,human rights,gender",,"niger,morocco,cambodia,kenya,nigeria","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Making Cents International,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0139/3362/MakingCents.4ColorRGB.OL%2528White%2520Background%2529.png","Making Cents International is a development consulting firm that works to solve global development challenges by linking learning to action to create lasting change..Founded on the principles of social entrepreneurship, Making Cents International uses evidence-based, market-driven approaches to support those most in need: Young leaders advocating for change, smallholder farmers feeding our planet, women entrepreneurs launching and growing businesses, families displaced by conflict and disasters struggling to rebuild their lives. In doing this important work, Making Cents partners with local organizations to create inclusive and supportive social and economic ecosystems where all individuals and groups can thrive and live fulfilling lives. To date, Making Cents has worked with more than 200 local organizations in 80 countries around the globe..Learning and sharing how Making Cents and its clients and partners can create lasting change in people’s lives is at a core of the company's organizational ethos. Making Cents' flagship initiative – Youth Economic Opportunities (YEO) 2030 – embodies this ethos by bringing together development practitioners, donors, companies, researchers, and young leaders to learn from each other and improve their programs, policies, and partnerships....",Development Consulting,26-50,,1 Million - 5 Million,1999,http://www.makingcents.com/,"development,torts / conflict resolution,procurement process,private sector development,international development",,"united states,nepal,sudan,nigeria,worldwide","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
The Aga Khan Academies,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0132/1335/aka_logo_0.png","The Aga Khan Academies are an agency of the Aga Khan Development Network (AKDN). The AKDN is a group of development agencies with mandates that include the environment, health, education, architecture, culture, microfinance, rural development, disaster reduction, the promotion of private-sector enterprise and the revitalisation of historic cities. AKDN agencies conduct their programmes without regard to faith, origin or gender..In 2000, His Highness the Aga Khan initiated the establishment of the Aga Khan Academies, an integrated network of schools to be located in countries across Africa, South and Central Asia, and the Middle East. When complete, the network of Academies will form a global learning community of about 18 schools in 14 countries. They will eventually serve approximately 14,000 girls and boys of exceptional calibre, graduating 1,500 students annually.",Institute,1001-5000,,France,2000,http://agakhanacademies.org/,"community,nutrition,reproductive health,research & development,monitoring / evaluation",,pakistan,"managerial experience,business development",,
Democracy International,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0012/0448/23272_123600453872_9306_n.jpg","Democracy International Inc. (DI) provides technical assistance and analytical services and implements projects worldwide for democracy and governance (DG) programs for the U.S. Agency for International Development (USAID) and other development partners. DI is based in the United States and is a SBA-registered small business.. .EXPERTISE.Democracy International offers expertise and practical, field-based experience across the full range of democracy and governance programming. We provide DG analytical services as well as implement and advise on DG projects.. .DG Analytical Services.Democracy International offers recognized technical expertise across a full range of democracy and governance analytical services, including assessments, evaluations, program designs, survey research, and applied DG research. We provide DG analytical services in all four DG subfields—elections and political processes, civil society, governance, and the rule of law—in emerging democracies, semiauthoritarian countries, postconflict societies, and failed and failing states. DI has assessed prospects for democracy, identified opportunities and priorities for democracy assistance, designed specific democracy and governance programs, and evaluated existing programs..........................",Implementing NGO,26-50,,United States,2003,http://www.democracyinternational.com/,"democracy,torts / conflict resolution,development,research & development,monitoring / evaluation",goal global,"united states,afghanistan,bangladesh,iraq,egypt","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
U.S. Pharmacopeia,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0129/7630/image002.png","The U.S. Pharmacopeial Convention (USP) is a global health organization that improves lives through public standards and related programs that help ensure the quality, safety, and benefit of medicines and foods. USP’s standards are used worldwide. Good quality medicines are essential to survival, and providing sustainable access to them is imperative. . Under the U.S. Food, Drug, and Cosmetic Act, quality standards established by USP are enforceable by the U.S. Food and Drug Administration (FDA) for medicines and their ingredients manufactured, imported into, or marketed in the United States. Additionally, USP also provides quality standards for articles that are not approved or legally marketed in the United States, but have been approved by a stringent regulatory authority [as defined by the World Health Organization (WHO)] and are used for essential purposes in other parts of the world. For more than 20 years, USP has supported regulatory authorities and the pharmaceutical industry in more than 70 countries and currently has offices in ten; USP’s standards have been used in more than 140 countries...",Implementing NGO,1001-5000,,United States,1820,http://www.usp.org/,"personnel / human resources,development,monitoring / evaluation,reproductive health,market research","save the children international,ec,goal global","united states,bangladesh,tanzania,nigeria,south africa","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Office of Internal Oversight Services (OIOS),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0020/3664/oios_logo_250.gif","The Office of Internal Oversight Services (OIOS) was established in July 1994 as an operationally independent office that assists the Secretary-General in fulfilling his internal oversight responsibilities in respect of the resources and staff of the Organization through monitoring, internal audit, inspection, evaluation and investigation. The Office has the authority to initiate, carry out and report on any action it considers necessary to fulfill its responsibilities with regard to its oversight functions..The Office assists Member States and the Organization in protecting its assets and in ensuring the compliance of programme activities with resolutions, regulations, rules and policies as well as the more efficient and effective delivery of the Organization’s activities; preventing and detecting fraud, waste, abuse, malfeasance or mismanagement; and improving the delivery of the Organization’s programmes and activities to enable it to achieve better results by determining all factors affecting the efficient and effective implementation of programmes........","Independent/None, Service Providers",,,Austria,1994,http://www.un.org/Depts/oios/,"economic policy,monitoring / evaluation,events / training,research & development,development","test,world bank group","united states,sierra leone,albania,iraq,ukraine","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Assistance Mission for Iraq (UNAMI),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0131/1046/UNIraq.png","The United Nations Assistance Mission for Iraq (UNAMI) is a political mission established in 2003 by UN Security Council Resolution 1500, at the request of the Government of Iraq. The Mission has been on the ground ever since, and its role was greatly expanded in 2007 with the adoption of Resolution 1770. .UNAMI’s mandate is to advise and assist the Government and people of Iraq on a number of issues. This includes advancing inclusive political dialogue and national reconciliation, assisting in the electoral process and in the planning for a national census, facilitating regional dialogue between Iraq and its neighbours, and promoting the protection of human rights and judicial and legal reforms. More about UNAMI’s mandate....",Funding Agencies,,,,2003,http://www.uniraq.com/,"climate change,market research,monitoring / evaluation,human rights,project support","ec,world bank group","iraq,liberia,somalia,united states,sierra leone","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Resonance,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0131/3801/resonance_wordmark_CMYK_tagline.png","At Resonance, they help their clients unlock opportunity in frontier markets by designing action-based strategies, forging strategic partnerships, and executing across sector boundaries. Since 2005, they have built over 200 partnerships and delivered solutions that enable businesses to achieve their growth objectives, NGOs to fulfill their missions, and development agencies to reach billions of individuals born into poverty. .Their Services.Corporate Sustainability.Scaling CSR programs, executing cause campaigns, or achieving a social license to operate. Resonance has the creative vision to tackle your sustainability challenges and the local knowledge to get it done..........",Development Consulting,101-250,,,2005,https://resonanceglobal.com/,"development,international development,usaid,private sector development,project support",,"united states,tanzania,afghanistan,ghana,namibia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Office at Nairobi (UNON),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0108/7539/unon2.png","The United Nations Office at Nairobi, the UN headquarters in Africa, was established by the General Assembly in 1996. The office is headed by a Director-General, at the Under-Secretary-General level, serves as the representative office of the Secretary-General in Nairobi and performs representation and liaison functions with permanent missions, the host-country and other Governments, and intergovernmental and non-governmental organizations in Nairobi, as well as other organizations of the United Nations system in Kenya; facilitates cooperation between the United Nations and regional organizations; provides administrative and other support services to the United Nations Environment Programme (UNEP) and the United Nations Human Settlements Progra mme (UN-Habitat); provides joint and common services to other organizations of the United Nations system in Kenya, as applicable; and manages and implements the programmes of administration, conference services and public information and provides security and safety services for United Nations staff and facilities in the United Nations Office at Nairobi...",Funding Agencies,501-1000,,Kenya,1996,http://www.unon.org/,"procurement process,project support,services,personnel / human resources,construction","world bank group,world agroforestry centre","kenya,malawi,uganda,tanzania,united kingdom","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Aga Khan Foundation,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0132/5695/aaa.PNG","The Aga Khan Foundation brings together human, financial and technical resources to address some of the challenges faced by the poorest and most marginalised communities in the world.  Special emphasis is placed on investing in human potential, expanding opportunity and improving the overall quality of life, especially for women and girls.  It works primarily in six areas:  Agriculture and Food Security; Economic Inclusion; Education; Early Childhood Development; Health and Nutrition; and Civil Society.",Independent/None,,,,,http://www.akdn.org/our-agencies/aga-khan-foundation,"development,monitoring / evaluation,reproductive health,personnel / human resources,financial services","test,macarthur foundation,ikea foundation,ec","pakistan,canada,uganda,kenya,united states","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Common Market for Eastern and Southern Africa (COMESA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0127/3592/comesa_logox80h.png",The history of COMESA began in December 1994 when it was formed to replace the former Preferential Trade Area (PTA) which had existed from the earlier days of 1981. COMESA (as defined by its Treaty) was established ‘as an organisation of free independent sovereign states which have agreed to co-operate in developing their natural and human resources for the good of all their people’ and as such it has a wide-ranging series of objectives which necessarily include in its priorities the promotion of peace and security in the region..................,Association,,,,1994,http://www.comesa.int/,"development,economic policy,monitoring / evaluation,implementation,research & development","commonwealth secretariat,ec,world bank group,test,goal global","zambia,malawi,united states,kenya,zimbabwe","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Medical Care Development International (MCDI),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0129/1355/MCDI.png","The international division of Medical Care Development, MCDI was founded in 1977 with the belief that MCD's successful approach to health systems development in the rural United States could be adapted to meet the needs of developing nations. A global non-profit organization, MCDI uses practical, evidence-based and high-impact approaches to strengthen health systems in developing countries. For almost 40 years, MCDI has worked to improve the health of vulnerable populations overseas through integrated, sustainable and locally-driven interventions. MCDI has implemented public health programs in over 40 countries aimed at targeting the world's most vulnerable populations. MCDI collaborates with donors, national governments, the private sector, health agencies, communities and local stakeholders to improve health and save lives in the following areas: malaria control; maternal, neonatal and child health; water, sanitation and hygiene; tuberculosis; HIV/AIDS; and other communicable diseases..MCDI's Values.............",Implementing NGO,26-50,,United States,1977,http://www.mcdinternational.org/,"reproductive health,development,monitoring / evaluation,international development,infectious disease","ec,world bank group,coca-cola foundation,acumen,bloomberg philantrophies","united states,guinea,guatemala,equatorial guinea,benin","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Innovations for Poverty Action (IPA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/5959/ipa.jpg","Innovations for Poverty Action (IPA) is a research and policy non-profit that discovers and promotes effective solutions to global poverty problems. IPA brings together researchers and decision-makers to design, rigorously evaluate, and refine these solutions and their applications, ensuring that the evidence created is used to improve the lives of the world’s poor..In recent decades, trillions of dollars have been spent on programs designed to reduce global poverty, but clear evidence on which programs succeed is rare, and when evidence does exist, decision-makers often do not know about it. IPA exists to bring together leading researchers and these decision-makers to ensure that the evidence they create leads to tangible impact on the world. Since their founding in 2002, IPA has worked with over 400 leading academics to conduct over 600 evaluations in 51 countries. This research has informed hundreds of successful programs that now impact millions of individuals worldwide.............",Institute,501-1000,,5 Million - 25 Million,2002,http://www.poverty-action.org/,"anti-poverty / social justice,research & development,data management,monitoring / evaluation,development",ec,"united states,ghana,mali,liberia,zambia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Pan American Development Foundation (PADF),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0141/2637/PADF%2520English_Blue%2520%25281%2529.png","The Pan American Development Foundation is a strategic partner of the Organization of American States that was established in 1962 to implement socio-economic development programs and disaster assistance in Latin America and the Caribbean..The Pan American Development Foundation (PADF) believes in creating a hemisphere of opportunity, for all. They work across Latin America and the Caribbean to make their region stronger— more healthy, peaceful, just, inclusive, resilient, and sustainable for current and future generations. For nearly 60 years, they have served the most vulnerable communities, investing resources throughout the hemisphere. They partner with and enable civil society, governments, and the private sector for the greater good of the region..With nearly 60 years of experience across Latin America and the Caribbean and strong partnerships with local communities, civil society, and public and private sectors, they have an impeccable track record of success with extensive in-country networks and sound financial controls. They are uniquely positioned to develop and implement adaptable programs across multiple technical areas, quickly deploy to any country in Latin America and the Caribbean and activate existing local networks, measure and evaluate their impact with comprehensive performance indicators, and communicate their progress through integrated communications strategies..",Implementing NGO,251-500,,United States,1962,http://www.padf.org/,"development,torts / conflict resolution,economic policy,research & development,financial services","ec,goal global","haiti,united states,kosovo,chile,colombia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
